Serial	user_id	user_screen_name	user_name	user_expanded_url	Facebook Page (https://www.facebook.com/)	RSS Feed link	Automatic RSS	Wikipedia page (https://ar.wikipedia.org/wiki/)	Alexa page (https://www.alexa.com/siteinfo/)	user_display_url	user_verified	newssource	newssource:confidence	user_created_at	user_description	user_followers_count	user_favourites_count	user_friends_count	user_twitter_friends_count	user_geo_enabled	user_lang	user_listed_count	user_location	country_code	country	Category	user_profile_image_url	user_statuses_count	user_time_zone	user_url	YouTube (http://www.youtube.com/)
1	23573083	AlArabiya_Brk	العربية عاجل	http://www.alarabiya.net	AlArabiya	-		قناة_العربية	alarabiya.net	alarabiya.net	1	1	1	Tue Mar 10 09:15:09 +0000 2009	خدمة قناة #العربية للأخبار العاجلة	17472948	0	15731	36	0	en	15731	Dubai	AE	United Arab Emirates	General	http://pbs.twimg.com/profile_images/818825878071349248/bjAfKVo8_normal.jpg	91266	Muscat	https://t.co/3J8D8Z8yvo	user/AlArabiya
2	148711787	AlArabiya	قناة العربية	http://www.alarabiya.net	AlArabiya	-		قناة_العربية	alarabiya.net	alarabiya.net	1	1	0.679	Thu May 27 12:11:19 +0000 2010	العربية #أن_تعرف_أكثر	13655761	3	13052	35	1	en	13052	Dubai	AE	United Arab Emirates	General	http://pbs.twimg.com/profile_images/818820656687120386/QHuE_1yq_normal.jpg	143189	Abu Dhabi	https://t.co/3J8D8YQX6O	user/AlArabiya
3	5536782	AJArabic	قناة الجزيرة	http://www.aljazeera.net	aljazeerachannel	http://www.aljazeera.net/aljazeerarss/be46a341-fe26-41f1-acab-b6ed9c198b19/e6aef64d-084c-42f0-8269-abe48e0cd154	/aljazeerarss/be46a341-fe26-41f1-acab-b6ed9c198b19/e6aef64d-084c-42f0-8269-abe48e0cd154	قناة_الجزيرة	aljazeera.net	aljazeera.net	1	1	1	Thu Apr 26 19:33:12 +0000 2007	الجزيرة.. الرأي والرأي الآخر.. تابع أخبارنا العاجلة على @AJABreaking  ولمحبي الرياضة: @AJA_sport	13308570	26	18346	28	1	en	18346	Qatar	QA	Qatar	General	http://pbs.twimg.com/profile_images/703867707318374400/zHFerbz0_normal.jpg	210573	Riyadh	http://t.co/l0QyVGxCDY	user/aljazeerachannel
4	60327493	sabqorg	صحيفة سبق الإلكترونية	http://www.sabq.org	sabq.org	https://sabq.org/rss	https://sabq.org/rss	صحيفة_سبق_الإلكترونية	sabq.org	sabq.org	1	1	0.679	Sun Jul 26 15:34:27 +0000 2009	الحساب الرسمي لصحيفة سبق الإلكترونية، سفير #نبراس Sabq Apps: https://t.co/8pcqIZkPkN -   للإعلان في شبكات التواصل trend@sabq.org	12866213	0	11655	1	1	ar	11655	Saudi Arabia	SA	Saudi Arabia	General	https://lh4.ggpht.com/je2K1G32D-_xPgdPpvBM-CFATFM4kxa0-RFoSvE2bwsSKywkPBZmW64e7WkPvqaedEg	129629	Riyadh	https://t.co/RKQaYG9xR8	sabqorg
5	474886468	SaudiNews50	أخبار السعودية	http://saudinews50.co	-	http://saudinews50.co/feed		-	saudinews50.co	saudinews50.co	0	1	1	Thu Jan 26 13:07:48 +0000 2012	الحساب الرسمي لأخبار السعودية | انستقرام: https://t.co/2UpUjXI7sJ | للتواصل: info@saudinews50.co	11206069	311	6915	5	1	ar	6915	واتس اب: 00966500551447	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/512005295174729728/GEm5CeJs_normal.jpeg	121528	Baghdad	https://t.co/3EjSQ9yFCE	
6	66591836	cnnarabic	CNN بالعربية	https://arabic.cnn.com	cnn	https://arabic.cnn.com/rss	https://arabic.cnn.com/rss	سي_إن_إن_العربية	cnn.com	arabic.cnn.com	1	1	1	Tue Aug 18 04:10:21 +0000 2009	World Wide News Leader, in Arabic <LF>https://t.co/U1V8ei6LDz  https://t.co/PhIonVHtAy	10130364	4258	9660	197	0	en	9660	Dubai, United Arab Emirates	US	United States of America	General	http://pbs.twimg.com/profile_images/473816630963609600/r-mBSnus_normal.png	123520	Muscat	https://t.co/5f49LwdJnf	
7	407054921	HashKSA	هاشتاق السعودية	http://www.stc.com.sa/wps/wcm/connect/arabic/services/mobile/mhtwa/hash-tag-ksa	-	-		-	stc.com.sa	stc.com.sa/wps/wcm/connec…	1	1	1	Mon Nov 07 15:33:48 +0000 2011	الآن،، جوالنا المجاني بـ3 قنوات (تويتر، سناب، المرأة) حصريًا على STC أرسل رسالة فارغة لـ808888 | للتواصل: hashksa@smaat.co سناب: https://t.co/AZD540Meia	9755855	15676	7171	947	1	ar	7171	Saudi Arabia	SA	Saudi Arabia	General	http://pbs.twimg.com/profile_images/2923067274/26cd965d450083946216344ef3fdb817_normal.png	70482	Riyadh	https://t.co/vqbaNku5d7	
	28631535	Alhilal_FC	نادي الهلال السعودي	http://www.alhilal.com	ALHILAL.Saudi.FC	-		نادي_الهلال_(السعودية)	alhilal.com	alhilal.com	1	1	1	Fri Apr 03 19:21:22 +0000 2009	الحساب الرسمي لنادي الهلال السعودي - English account : @Alhilal_EN	8904344	0	6131	46	1	ar	6131	المملكة العربية السعودية	SA	Saudi Arabia	Sports	http://pbs.twimg.com/profile_images/1441466959/30813_405930638006_554613006_4126002_35919_n_normal.jpg	26850	Riyadh	https://t.co/iHpubnxwW5	alhilal
8	153436029	realmadridarab	Real Madrid C.F.	http://www.realmadrid.com/ar	RealMadrid	-		ريال_مدريد	realmadrid.com	realmadrid.com/ar	1	1	1	Tue Jun 08 14:58:44 +0000 2010	Real Madrid C.F.  العربيه @realmadridarab 日本語 @realmadridjapan English @realmadriden Français @realmadridfra<LF>Español @realmadrid	8245137	222	5025	48	1	en	5025	مدريد - إسبانيا	ES	Spain	Sports	http://pbs.twimg.com/profile_images/855072912533049345/3grW4-Yg_normal.jpg	24228	Madrid	https://t.co/eyqUPNAByS	realmadrid
9	25049177	France24_ar	فرانس 24 / FRANCE 24	http://www.france24.com/ar/	FRANCE24.Arabic	http://www.france24.com/ar/timeline/rss	http:/www.france24.com/ar/rss/	فرانس_24	france24.com	france24.com/ar/	1	1	1	Wed Mar 18 09:24:42 +0000 2009	قناة فرانس 24 الدولية للأخبار https://t.co/8WhaeVBn2b	7963105	63	6467	1054	1	fr	6467	باريس، فرنسا	FR	France	General	http://pbs.twimg.com/profile_images/875648957451345921/OUjlwj62_normal.jpg	163499	Paris	https://t.co/4MdxV4UwEv	user/france24arabic
